player_id,full_name,team_name,position,season,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,gamesStarted,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored
445926,Jesse Chavez,Atlanta Braves,Pitcher,2024,46,68,61,27,11,1,10,55,19,1,60,1,.249,241,.304,.427,.731,0,8,1.000,6,1044,,103,,,1,2,,1.11,0,,0.0,3.13,63.1,2.0,2.0,0.0,1.0,1.0,1.0,22.0,1.25,264.0,190.0,46.0,0.0,0.0,666.0,.640,1.0,1.0,0.0,0.0,.500,16.48,16.0,2.89,7.82,2.70,8.53,3.84,1.42,20.0,4.0
689266,Dylan Dodd,Atlanta Braves,Pitcher,2024,1,1,1,2,1,0,0,2,1,0,4,0,.500,8,.556,.625,1.181,1,0,.000,1,34,,5,,,0,0,,1.00,0,,0.0,9.00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.50,9.0,6.0,1.0,0.0,0.0,22.0,.650,0.0,0.0,0.0,0.0,.---,17.00,1.0,2.00,9.00,4.50,18.00,9.00,0.00,0.0,0.0
670161,Parker Dunshee,Atlanta Braves,Pitcher,2024,1,3,1,5,1,0,2,3,2,0,4,1,.364,11,.500,1.000,1.500,0,0,.---,0,51,,11,,,0,0,,3.00,0,,0.0,19.29,2.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.57,14.0,7.0,1.0,0.0,0.0,29.0,.570,1.0,0.0,0.0,0.0,.---,21.86,0.0,1.50,11.57,7.71,15.43,19.29,7.71,1.0,0.0
594807,Adam Duvall,Atlanta Braves,Outfielder,2024,104,48,102,29,10,0,11,99,21,0,55,5,.182,303,.245,.323,.568,0,0,.---,6,1252,330.0,98,30.0,155.0,0,1,.227,0.47,0,27.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693821,Bryce Elder,Atlanta Braves,Pitcher,2024,10,56,41,37,9,2,8,46,17,0,64,2,.311,206,.367,.490,.857,1,9,.900,3,864,,101,,,0,1,,1.37,0,,10.0,6.52,49.2,2.0,5.0,0.0,0.0,0.0,0.0,36.0,1.63,226.0,149.0,10.0,0.0,0.0,536.0,.620,2.0,0.0,3.0,0.0,.286,17.40,0.0,2.71,8.34,3.08,11.60,6.70,1.45,0.0,0.0
664058,David Fletcher,Atlanta Braves,Second Base,2024,5,3,3,0,0,0,0,1,0,0,2,0,.250,8,.222,.250,.472,0,0,.---,0,27,9.0,2,2.0,2.0,0,1,.250,1.00,0,-.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608331,Max Fried,Atlanta Braves,Pitcher,2024,29,227,110,71,16,1,13,166,57,0,146,7,.226,645,.295,.315,.610,2,13,.867,20,2762,,203,,,0,4,,2.06,1,,29.0,3.25,174.1,11.0,10.0,0.0,0.0,0.0,0.0,63.0,1.16,714.0,523.0,29.0,2.0,1.0,1755.0,.640,7.0,0.0,6.0,2.0,.524,15.84,0.0,2.91,8.57,2.94,7.54,3.67,0.67,0.0,0.0
676070,Jacob Amaya,Chicago White Sox,Shortstop,2024,24,16,12,4,1,0,0,28,4,0,12,0,.176,68,.222,.191,.413,0,1,1.000,3,301,72.0,13,3.0,26.0,0,0,.300,1.33,0,-.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605121,Justin Anderson,Chicago White Sox,Pitcher,2024,56,43,59,29,9,0,5,57,32,1,48,3,.234,205,.344,.351,.695,1,8,.889,3,945,,72,,,1,1,,0.73,0,,0.0,4.39,53.1,1.0,2.0,1.0,6.0,5.0,5.0,26.0,1.50,242.0,160.0,56.0,0.0,0.0,585.0,.620,3.0,0.0,1.0,0.0,.333,17.72,14.0,1.78,9.62,5.40,8.10,4.89,0.84,36.0,11.0
681460,Brooks Baldwin,Chicago White Sox,Second Base,2024,33,19,41,9,6,0,2,31,6,0,24,0,.211,114,.250,.316,.566,0,4,1.000,1,426,121.0,36,8.0,46.0,1,0,.272,0.46,0,57.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
