player_id,full_name,first_name,last_name,position,position_code,jersey_number,team_id,team_name,team_abbreviation
656271,Brock Burke,,,Pitcher,1,46,108,Los Angeles Angels,LAA
695681,Christian Moore,,,Second Base,4,4,108,Los Angeles Angels,LAA
641401,Connor Brogdon,,,Pitcher,1,75,108,Los Angeles Angels,LAA
672569,Gustavo Campero,,,Outfielder,9,51,108,Los Angeles Angels,LAA
519326,Hunter Strickland,,,Pitcher,1,60,108,Los Angeles Angels,LAA
686799,Jack Kochanowicz,,,Pitcher,1,41,108,Los Angeles Angels,LAA
666176,Jo Adell,,,Outfielder,8,7,108,Los Angeles Angels,LAA
820862,José Fermin,,,Pitcher,1,68,108,Los Angeles Angels,LAA
667755,José Soriano,,,Pitcher,1,59,108,Los Angeles Angels,LAA
445276,Kenley Jansen,,,Pitcher,1,74,108,Los Angeles Angels,LAA
621028,Kevin Newman,,,Third Base,5,10,108,Los Angeles Angels,LAA
543294,Kyle Hendricks,,,Pitcher,1,28,108,Los Angeles Angels,LAA
664774,LaMonte Wade Jr.,,,First Base,3,35,108,Los Angeles Angels,LAA
681351,Logan O'Hoppe,,,Catcher,2,14,108,Los Angeles Angels,LAA
650859,Luis Rengifo,,,Third Base,5,2,108,Los Angeles Angels,LAA
545361,Mike Trout,,,Outfielder,9,27,108,Los Angeles Angels,LAA
694384,Nolan Schanuel,,,First Base,3,18,108,Los Angeles Angels,LAA
672282,Reid Detmers,,,Pitcher,1,48,108,Los Angeles Angels,LAA
666171,Ryan Zeferjahn,,,Pitcher,1,56,108,Los Angeles Angels,LAA
696147,Sam Bachman,,,Pitcher,1,40,108,Los Angeles Angels,LAA
664068,Scott Kingery,,,Second Base,4,13,108,Los Angeles Angels,LAA
621493,Taylor Ward,,,Outfielder,7,3,108,Los Angeles Angels,LAA
518595,Travis d'Arnaud,,,Catcher,2,25,108,Los Angeles Angels,LAA
542881,Tyler Anderson,,,Pitcher,1,31,108,Los Angeles Angels,LAA
579328,Yusei Kikuchi,,,Pitcher,1,16,108,Los Angeles Angels,LAA
687263,Zach Neto,,,Shortstop,6,9,108,Los Angeles Angels,LAA
677950,Alek Thomas,,,Outfielder,8,5,109,Arizona Diamondbacks,AZ
543101,Anthony DeSclafani,,,Pitcher,1,21,109,Arizona Diamondbacks,AZ
677942,Blaze Alexander,,,Shortstop,6,9,109,Arizona Diamondbacks,AZ
694297,Brandon Pfaadt,,,Pitcher,1,32,109,Arizona Diamondbacks,AZ
593958,Eduardo Rodriguez,,,Pitcher,1,57,109,Arizona Diamondbacks,AZ
553993,Eugenio Suárez,,,Third Base,5,28,109,Arizona Diamondbacks,AZ
672695,Geraldo Perdomo,,,Shortstop,6,2,109,Arizona Diamondbacks,AZ
664983,Jake McCarthy,,,Outfielder,8,31,109,Arizona Diamondbacks,AZ
656222,Jalen Beeks,,,Pitcher,1,68,109,Arizona Diamondbacks,AZ
543510,James McCann,,,Catcher,2,8,109,Arizona Diamondbacks,AZ
595928,John Curtiss,,,Pitcher,1,46,109,Arizona Diamondbacks,AZ
645444,Jose Herrera,,,Catcher,2,11,109,Arizona Diamondbacks,AZ
647304,Josh Naylor,,,First Base,3,22,109,Arizona Diamondbacks,AZ
666661,Juan Morillo,,,Pitcher,1,67,109,Arizona Diamondbacks,AZ
606466,Ketel Marte,,,Second Base,4,4,109,Arizona Diamondbacks,AZ
656464,Kevin Ginkel,,,Pitcher,1,37,109,Arizona Diamondbacks,AZ
679775,Kyle Backhus,,,Pitcher,1,43,109,Arizona Diamondbacks,AZ
666971,Lourdes Gurriel Jr.,,,Outfielder,7,12,109,Arizona Diamondbacks,AZ
518876,Merrill Kelly,,,Pitcher,1,29,109,Arizona Diamondbacks,AZ
656976,Pavin Smith,,,First Base,3,26,109,Arizona Diamondbacks,AZ
545341,Randal Grichuk,,,Outfielder,9,15,109,Arizona Diamondbacks,AZ
657044,Ryan Thompson,,,Pitcher,1,81,109,Arizona Diamondbacks,AZ
